,unit,time,os_1,os_2,os_3,sm_1,sm_2,sm_3,sm_4,sm_5,sm_6,sm_7,sm_8,sm_9,sm_10,sm_11,sm_12,sm_13,sm_14,sm_15,sm_16,sm_17,sm_18,sm_19,sm_20,sm_21
191,1,192,0.0009,-0.0,100.0,518.67,643.54,1601.41,1427.2,14.62,21.61,551.25,2388.32,9033.22,1.3,48.25,520.08,2388.32,8110.93,8.5113,0.03,396,2388,100.0,38.48,22.9649
478,2,287,-0.0005,0.0006,100.0,518.67,643.85,1608.5,1430.84,14.62,21.61,551.66,2388.2,9109.36,1.3,48.12,519.81,2388.21,8175.57,8.5365,0.03,398,2388,100.0,38.43,23.0848
657,3,179,0.0012,0.0,100.0,518.67,643.51,1604.8,1428.23,14.62,21.61,551.91,2388.14,9197.52,1.3,48.09,519.53,2388.2,8255.34,8.5056,0.03,398,2388,100.0,38.4,22.9562
846,4,189,-0.0024,-0.0002,100.0,518.67,644.53,1612.11,1432.55,14.62,21.61,551.93,2388.13,9198.32,1.3,48.15,519.84,2388.16,8259.42,8.5246,0.03,398,2388,100.0,38.44,23.1006
1115,5,269,0.0022,0.0003,100.0,518.67,643.46,1597.28,1430.74,14.62,21.61,550.77,2388.18,9157.05,1.3,48.26,519.86,2388.16,8212.75,8.5209,0.03,397,2388,100.0,38.45,23.0296
1303,6,188,0.0014,-0.0004,100.0,518.67,643.47,1600.63,1434.92,14.62,21.61,550.7,2388.34,9027.96,1.3,48.21,518.98,2388.34,8102.82,8.5358,0.03,397,2388,100.0,38.42,22.9577
1562,7,259,0.0043,-0.0001,100.0,518.67,644.15,1599.33,1435.04,14.62,21.61,551.97,2388.19,9075.94,1.3,47.97,519.1,2388.24,8145.75,8.5162,0.03,396,2388,100.0,38.46,23.0596
1712,8,150,0.0026,-0.0003,100.0,518.67,643.87,1602.84,1432.31,14.62,21.61,551.08,2388.27,9046.16,1.3,48.24,519.57,2388.26,8121.27,8.5509,0.03,394,2388,100.0,38.24,23.051
1913,9,201,-0.0016,0.0004,100.0,518.67,644.04,1595.36,1428.43,14.62,21.61,552.3,2388.5,9239.76,1.3,48.11,520.28,2388.56,8289.63,8.5156,0.03,399,2388,100.0,38.45,23.0284
2135,10,222,0.0002,-0.0003,100.0,518.67,643.66,1599.18,1436.29,14.62,21.61,552.7,2388.22,9115.44,1.3,48.09,520.02,2388.16,8183.55,8.5159,0.03,398,2388,100.0,38.51,23.1434
2375,11,240,0.0002,0.0001,100.0,518.67,643.52,1598.71,1432.38,14.62,21.61,552.03,2388.19,9155.67,1.3,48.19,519.94,2388.16,8218.2,8.5135,0.03,397,2388,100.0,38.28,23.0558
2545,12,170,0.0002,-0.0001,100.0,518.67,643.31,1601.76,1434.94,14.62,21.61,551.1,2388.32,9050.4,1.3,48.08,519.55,2388.29,8122.87,8.5213,0.03,395,2388,100.0,38.64,23.0102
2708,13,163,-0.0002,-0.0004,100.0,518.67,644.26,1610.89,1430.32,14.62,21.61,550.99,2388.15,9153.32,1.3,48.22,519.76,2388.16,8211.76,8.5477,0.03,397,2388,100.0,38.53,23.1291
2888,14,180,0.0011,-0.0002,100.0,518.67,643.49,1597.94,1427.6,14.62,21.61,551.29,2388.18,9129.74,1.3,48.32,520.56,2388.23,8196.18,8.5237,0.03,397,2388,100.0,38.36,22.9824
3095,15,207,-0.0002,0.0001,100.0,518.67,643.65,1599.27,1433.72,14.62,21.61,551.59,2388.33,9039.93,1.3,48.3,519.67,2388.31,8122.39,8.5381,0.03,396,2388,100.0,38.43,23.0375
3304,16,209,0.0012,-0.0002,100.0,518.67,643.61,1601.47,1429.68,14.62,21.61,551.17,2388.25,9060.94,1.3,48.28,519.44,2388.26,8132.25,8.5258,0.03,397,2388,100.0,38.35,23.1505
3580,17,276,-0.0006,-0.0004,100.0,518.67,643.97,1599.82,1432.46,14.62,21.61,551.51,2388.14,9172.75,1.3,48.06,520.22,2388.12,8238.26,8.5171,0.03,397,2388,100.0,38.5,23.0517
3775,18,195,-0.0029,-0.0001,100.0,518.67,643.93,1601.0,1428.08,14.62,21.61,551.43,2388.44,9224.53,1.3,48.01,519.44,2388.39,8282.5,8.5132,0.03,398,2388,100.0,38.5,23.0304
3933,19,158,-0.0009,0.0004,100.0,518.67,643.34,1605.58,1433.97,14.62,21.61,550.84,2388.3,9051.89,1.3,48.23,519.22,2388.33,8117.14,8.5343,0.03,396,2388,100.0,38.28,22.9405
4167,20,234,0.0011,-0.0004,100.0,518.67,643.86,1598.43,1430.93,14.62,21.61,551.74,2388.3,9070.66,1.3,48.15,519.73,2388.25,8143.3,8.5433,0.03,397,2388,100.0,38.57,22.9964
4362,21,195,0.0022,0.0,100.0,518.67,643.87,1606.47,1432.84,14.62,21.61,551.79,2388.18,9161.51,1.3,48.04,520.26,2388.19,8224.87,8.5197,0.03,399,2388,100.0,38.44,22.986
4564,22,202,0.0017,-0.0001,100.0,518.67,643.64,1609.56,1429.98,14.62,21.61,551.02,2388.3,9053.41,1.3,48.16,519.31,2388.3,8130.05,8.5361,0.03,398,2388,100.0,38.43,22.9965
4732,23,168,-0.0007,0.0002,100.0,518.67,643.32,1604.16,1431.69,14.62,21.61,551.26,2388.26,9059.37,1.3,48.19,519.71,2388.36,8127.93,8.5169,0.03,397,2388,100.0,38.32,22.9071
4879,24,147,-0.0006,0.0004,100.0,518.67,643.79,1601.33,1430.87,14.62,21.61,550.78,2388.3,9043.96,1.3,48.19,519.3,2388.28,8119.58,8.5374,0.03,398,2388,100.0,38.58,23.0309
5109,25,230,-0.0046,0.0001,100.0,518.67,643.67,1608.49,1432.58,14.62,21.61,552.18,2388.14,9152.46,1.3,48.12,520.16,2388.19,8209.41,8.4974,0.03,398,2388,100.0,38.38,23.0349
5308,26,199,-0.0005,0.0003,100.0,518.67,643.51,1599.25,1432.5,14.62,21.61,551.79,2388.19,9159.51,1.3,48.05,519.2,2388.2,8222.42,8.5347,0.03,398,2388,100.0,38.27,22.9867
5464,27,156,0.0003,0.0004,100.0,518.67,643.76,1606.45,1429.06,14.62,21.61,551.51,2388.17,9141.14,1.3,48.26,519.43,2388.15,8210.07,8.5259,0.03,397,2388,100.0,38.65,23.0772
5629,28,165,-0.0036,-0.0004,100.0,518.67,644.01,1600.61,1431.57,14.62,21.61,551.78,2388.19,9087.32,1.3,48.04,519.31,2388.2,8166.05,8.5311,0.03,396,2388,100.0,38.37,23.1508
5792,29,163,-0.0018,-0.0003,100.0,518.67,643.98,1598.93,1436.41,14.62,21.61,551.64,2388.23,9042.66,1.3,48.17,519.75,2388.26,8121.38,8.5641,0.03,396,2388,100.0,38.29,23.0583
5986,30,194,0.0003,0.0005,100.0,518.67,643.34,1604.03,1441.49,14.62,21.61,551.1,2388.32,9050.0,1.3,48.17,519.22,2388.3,8118.21,8.5298,0.03,396,2388,100.0,38.24,23.1925
6220,31,234,0.0023,-0.0001,100.0,518.67,643.5,1599.79,1425.76,14.62,21.61,550.86,2388.34,9042.46,1.3,48.32,519.88,2388.35,8116.96,8.4871,0.03,397,2388,100.0,38.46,23.0314
6411,32,191,0.0013,-0.0003,100.0,518.67,643.35,1605.39,1435.15,14.62,21.61,551.45,2388.18,9089.9,1.3,48.53,519.65,2388.21,8156.17,8.5372,0.03,396,2388,100.0,38.3,23.1225
6611,33,200,-0.0013,-0.0003,100.0,518.67,643.93,1605.51,1433.49,14.62,21.61,551.28,2388.23,9050.89,1.3,48.28,519.81,2388.31,8127.7,8.5146,0.03,397,2388,100.0,38.42,22.9862
6806,34,195,0.004,0.0006,100.0,518.67,643.94,1597.74,1434.09,14.62,21.61,551.46,2388.17,9162.57,1.3,48.33,520.01,2388.14,8230.84,8.5014,0.03,397,2388,100.0,38.36,22.9984
6987,35,181,0.0003,0.0002,100.0,518.67,643.91,1600.31,1431.5,14.62,21.61,551.16,2388.24,9098.3,1.3,48.08,519.84,2388.25,8166.97,8.5153,0.03,396,2388,100.0,38.44,23.0205
7145,36,158,-0.0005,-0.0001,100.0,518.67,643.31,1606.6,1432.33,14.62,21.61,551.7,2388.28,9051.21,1.3,48.26,519.4,2388.31,8124.67,8.5327,0.03,396,2388,100.0,38.39,22.9915
7315,37,170,0.0024,-0.0005,100.0,518.67,643.85,1603.36,1425.87,14.62,21.61,551.28,2388.29,9038.73,1.3,48.4,519.15,2388.27,8116.79,8.5559,0.03,396,2388,100.0,38.37,23.1615
7509,38,194,-0.0017,0.0004,100.0,518.67,643.95,1606.9,1426.16,14.62,21.61,551.67,2388.26,9156.77,1.3,48.52,520.07,2388.16,8217.94,8.5574,0.03,397,2388,100.0,38.35,23.001
7637,39,128,-0.0029,0.0002,100.0,518.67,643.66,1604.19,1428.14,14.62,21.61,550.68,2388.3,9036.1,1.3,48.27,518.83,2388.31,8106.63,8.5148,0.03,395,2388,100.0,38.5,23.0281
7825,40,188,0.0002,-0.0003,100.0,518.67,643.87,1611.92,1432.96,14.62,21.61,551.08,2388.23,9142.42,1.3,48.03,520.33,2388.25,8202.76,8.535,0.03,397,2388,100.0,38.37,23.1022
8041,41,216,-0.0024,-0.0001,100.0,518.67,643.51,1603.91,1428.74,14.62,21.61,551.53,2388.16,9152.86,1.3,48.34,520.07,2388.17,8214.55,8.4999,0.03,398,2388,100.0,38.25,23.1237
8237,42,196,-0.0019,0.0003,100.0,518.67,643.34,1597.41,1427.68,14.62,21.61,551.04,2388.29,9066.91,1.3,47.97,519.68,2388.26,8133.97,8.5161,0.03,395,2388,100.0,38.43,22.995
8444,43,207,0.0003,-0.0,100.0,518.67,643.99,1599.57,1427.53,14.62,21.61,550.73,2388.37,9035.0,1.3,48.03,519.37,2388.3,8113.24,8.4916,0.03,397,2388,100.0,38.44,22.9936
8636,44,192,0.0015,-0.0003,100.0,518.67,643.95,1608.5,1438.96,14.62,21.61,552.03,2388.17,9079.75,1.3,48.05,519.87,2388.23,8155.1,8.5266,0.03,396,2388,100.0,38.39,22.9435
8794,45,158,0.0012,-0.0001,100.0,518.67,643.7,1598.55,1437.88,14.62,21.61,551.59,2388.23,9095.15,1.3,48.29,519.83,2388.23,8160.09,8.5497,0.03,396,2388,100.0,38.22,23.0342
9050,46,256,0.0023,0.0002,100.0,518.67,644.44,1602.57,1433.99,14.62,21.61,550.75,2388.25,9041.98,1.3,48.22,519.48,2388.32,8118.01,8.5052,0.03,397,2388,100.0,38.38,23.017
9264,47,214,0.0032,-0.0001,100.0,518.67,643.5,1602.64,1433.3,14.62,21.61,551.7,2388.21,9107.27,1.3,48.28,519.72,2388.22,8176.36,8.5238,0.03,395,2388,100.0,38.48,23.1299
9495,48,231,-0.0025,-0.0005,100.0,518.67,644.02,1609.54,1435.19,14.62,21.61,551.65,2388.52,9228.53,1.3,47.98,520.53,2388.55,8290.25,8.4923,0.03,398,2388,100.0,38.45,23.0188
9710,49,215,0.0026,-0.0005,100.0,518.67,644.2,1593.84,1433.24,14.62,21.61,550.72,2388.26,9058.19,1.3,48.26,519.25,2388.3,8138.39,8.5046,0.03,396,2388,100.0,38.46,23.0171
9908,50,198,0.0039,0.0001,100.0,518.67,643.83,1608.2,1433.88,14.62,21.61,552.06,2388.2,9128.91,1.3,48.01,520.0,2388.25,8200.2,8.5002,0.03,396,2388,100.0,38.43,23.1086
10121,51,213,0.0014,0.0004,100.0,518.67,644.11,1606.6,1428.55,14.62,21.61,551.6,2388.56,9244.59,1.3,47.89,520.2,2388.54,8293.72,8.5306,0.03,397,2388,100.0,38.39,23.0958
10334,52,213,-0.0017,-0.0005,100.0,518.67,643.67,1601.99,1436.34,14.62,21.61,552.28,2388.18,9119.4,1.3,48.18,519.23,2388.21,8181.73,8.5159,0.03,397,2388,100.0,38.35,23.015
10529,53,195,-0.0001,-0.0004,100.0,518.67,644.18,1612.63,1423.19,14.62,21.61,552.53,2388.14,9162.47,1.3,48.18,519.68,2388.17,8230.96,8.5196,0.03,396,2388,100.0,38.32,23.0419
10786,54,257,-0.0009,-0.0003,100.0,518.67,643.8,1601.79,1433.26,14.62,21.61,551.37,2388.16,9155.85,1.3,48.15,519.57,2388.15,8220.23,8.5295,0.03,395,2388,100.0,38.3,23.05
10979,55,193,0.0033,0.0,100.0,518.67,644.01,1605.12,1433.56,14.62,21.61,551.8,2388.14,9202.75,1.3,48.19,520.36,2388.16,8257.58,8.531,0.03,397,2388,100.0,38.49,23.1604
11254,56,275,-0.0058,0.0001,100.0,518.67,644.09,1600.47,1427.24,14.62,21.61,551.44,2388.16,9145.5,1.3,48.16,519.87,2388.19,8217.25,8.5243,0.03,396,2388,100.0,38.27,23.0597
11391,57,137,-0.0004,-0.0003,100.0,518.67,644.15,1596.45,1432.49,14.62,21.61,550.95,2388.32,9036.5,1.3,48.26,519.07,2388.28,8108.28,8.5533,0.03,394,2388,100.0,38.24,23.0412
11538,58,147,-0.0028,0.0002,100.0,518.67,643.75,1593.77,1438.22,14.62,21.61,551.29,2388.28,9047.79,1.3,48.33,519.77,2388.33,8119.76,8.519,0.03,395,2388,100.0,38.29,23.185
11769,59,231,0.002,-0.0004,100.0,518.67,643.47,1599.56,1425.87,14.62,21.61,550.88,2388.28,9063.69,1.3,48.14,519.09,2388.24,8141.32,8.5155,0.03,395,2388,100.0,38.44,23.0258
11941,60,172,-0.0005,0.0004,100.0,518.67,643.62,1605.19,1434.09,14.62,21.61,551.21,2388.18,9141.47,1.3,48.04,520.44,2388.22,8205.47,8.5322,0.03,396,2388,100.0,38.23,22.954
12126,61,185,-0.0049,0.0,100.0,518.67,643.39,1604.83,1426.0,14.62,21.61,551.12,2388.26,9038.93,1.3,48.23,519.82,2388.27,8109.39,8.519,0.03,397,2388,100.0,38.34,22.984
12306,62,180,-0.0026,-0.0002,100.0,518.67,643.49,1595.1,1427.51,14.62,21.61,551.09,2388.28,9037.02,1.3,48.16,519.68,2388.31,8123.28,8.5442,0.03,396,2388,100.0,38.35,23.0042
12480,63,174,-0.0007,-0.0003,100.0,518.67,643.43,1603.87,1424.72,14.62,21.61,551.7,2388.16,9175.01,1.3,48.21,520.16,2388.16,8239.45,8.5265,0.03,397,2388,100.0,38.31,23.2228
12763,64,283,0.002,-0.0001,100.0,518.67,643.88,1605.47,1425.77,14.62,21.61,550.6,2388.17,9111.28,1.3,48.15,519.54,2388.22,8181.59,8.5458,0.03,397,2388,100.0,38.45,23.1041
12916,65,153,0.0021,-0.0001,100.0,518.67,643.95,1592.45,1432.83,14.62,21.61,551.19,2388.28,9030.23,1.3,48.08,519.73,2388.34,8109.49,8.5197,0.03,396,2388,100.0,38.37,23.1362
13118,66,202,-0.0038,0.0004,100.0,518.67,643.88,1607.66,1429.38,14.62,21.61,551.53,2388.23,9071.25,1.3,48.19,519.38,2388.25,8147.9,8.5382,0.03,396,2388,100.0,38.38,23.1412
13431,67,313,0.0009,-0.0003,100.0,518.67,643.57,1599.78,1424.96,14.62,21.61,551.3,2388.29,9074.14,1.3,48.28,520.29,2388.21,8146.04,8.5668,0.03,397,2388,100.0,38.45,23.1288
13630,68,199,-0.0037,-0.0004,100.0,518.67,643.88,1609.59,1430.17,14.62,21.61,551.47,2388.2,9158.41,1.3,48.16,519.72,2388.14,8226.34,8.5196,0.03,395,2388,100.0,38.4,23.0888
13992,69,362,0.0007,-0.0,100.0,518.67,643.75,1598.16,1428.28,14.62,21.61,551.55,2388.31,9054.19,1.3,48.02,519.12,2388.33,8124.27,8.5126,0.03,397,2388,100.0,38.42,22.9782
14129,70,137,0.0014,-0.0,100.0,518.67,643.39,1602.76,1434.81,14.62,21.61,551.64,2388.17,9106.12,1.3,48.16,519.6,2388.25,8173.73,8.5312,0.03,396,2388,100.0,38.49,23.1398
14337,71,208,0.0012,0.0002,100.0,518.67,643.57,1599.94,1437.81,14.62,21.61,551.45,2388.18,9153.73,1.3,48.02,520.04,2388.19,8225.07,8.5197,0.03,397,2388,100.0,38.25,22.9967
14550,72,213,0.0007,-0.0003,100.0,518.67,643.91,1597.72,1427.84,14.62,21.61,550.89,2388.32,9033.07,1.3,48.17,519.48,2388.36,8103.27,8.5519,0.03,395,2388,100.0,38.46,23.1649
14763,73,213,-0.0014,0.0002,100.0,518.67,643.54,1599.16,1428.84,14.62,21.61,551.62,2388.28,9041.6,1.3,48.12,519.7,2388.35,8114.48,8.5434,0.03,396,2388,100.0,38.54,23.0257
14929,74,166,0.0011,0.0003,100.0,518.67,643.29,1604.39,1431.14,14.62,21.61,550.35,2388.3,9056.35,1.3,48.07,519.52,2388.25,8123.87,8.5309,0.03,398,2388,100.0,38.36,22.9906
15158,75,229,0.0003,0.0001,100.0,518.67,643.7,1600.8,1433.1,14.62,21.61,552.04,2388.31,9026.08,1.3,48.22,519.51,2388.3,8104.78,8.5097,0.03,395,2388,100.0,38.57,23.0341
15368,76,210,-0.003,0.0003,100.0,518.67,643.67,1598.61,1432.07,14.62,21.61,550.94,2388.27,9056.85,1.3,48.24,519.41,2388.28,8131.33,8.5253,0.03,396,2388,100.0,38.5,23.0671
15522,77,154,0.0009,-0.0004,100.0,518.67,643.49,1601.95,1423.58,14.62,21.61,551.86,2388.27,9074.92,1.3,48.08,519.38,2388.24,8148.51,8.5105,0.03,399,2388,100.0,38.29,23.0154
15753,78,231,-0.001,0.0001,100.0,518.67,643.23,1596.6,1428.33,14.62,21.61,551.6,2388.24,9090.13,1.3,48.22,519.11,2388.21,8160.8,8.5254,0.03,396,2388,100.0,38.25,23.126
15952,79,199,-0.0023,-0.0004,100.0,518.67,643.57,1598.35,1436.93,14.62,21.61,551.0,2388.26,9095.97,1.3,48.2,519.62,2388.21,8165.3,8.5273,0.03,397,2388,100.0,38.4,23.1076
16137,80,185,0.0015,-0.0,100.0,518.67,643.88,1606.38,1421.41,14.62,21.61,551.55,2388.22,9170.57,1.3,48.05,520.0,2388.18,8229.73,8.525,0.03,397,2388,100.0,38.35,23.0323
16377,81,240,-0.0026,-0.0003,100.0,518.67,644.01,1601.01,1423.61,14.62,21.61,550.75,2388.28,9061.24,1.3,48.12,519.48,2388.22,8129.61,8.4922,0.03,397,2388,100.0,38.37,23.0289
16591,82,214,-0.0013,0.0003,100.0,518.67,643.73,1601.66,1427.73,14.62,21.61,551.57,2388.16,9215.59,1.3,48.3,520.01,2388.16,8267.9,8.5222,0.03,399,2388,100.0,38.56,23.0292
16884,83,293,-0.0002,-0.0005,100.0,518.67,643.77,1605.59,1430.64,14.62,21.61,551.68,2388.25,9045.98,1.3,48.21,519.45,2388.31,8115.28,8.5123,0.03,397,2388,100.0,38.42,22.9926
17151,84,267,-0.0023,0.0001,100.0,518.67,643.68,1606.08,1430.13,14.62,21.61,550.64,2388.25,9079.24,1.3,48.17,519.77,2388.23,8149.66,8.5367,0.03,396,2388,100.0,38.49,23.1018
17339,85,188,-0.0014,0.0,100.0,518.67,643.64,1603.1,1434.88,14.62,21.61,551.23,2388.28,9050.97,1.3,48.17,519.61,2388.3,8124.14,8.4977,0.03,396,2388,100.0,38.61,22.9752
17617,86,278,-0.0002,-0.0005,100.0,518.67,643.15,1600.16,1425.47,14.62,21.61,551.62,2388.23,9078.73,1.3,48.16,519.63,2388.22,8151.89,8.4919,0.03,398,2388,100.0,38.51,22.9947
17795,87,178,0.001,0.0001,100.0,518.67,643.44,1597.69,1433.25,14.62,21.61,551.24,2388.32,9050.62,1.3,48.11,519.79,2388.31,8121.08,8.5082,0.03,397,2388,100.0,38.61,23.074
18008,88,213,-0.0019,0.0003,100.0,518.67,643.65,1602.86,1431.92,14.62,21.61,551.76,2388.13,9149.8,1.3,48.4,519.95,2388.19,8212.51,8.5067,0.03,397,2388,100.0,38.45,22.9829
18225,89,217,0.006,-0.0002,100.0,518.67,643.18,1603.61,1431.32,14.62,21.61,551.03,2388.17,9081.82,1.3,48.39,519.86,2388.22,8154.8,8.4936,0.03,397,2388,100.0,38.19,23.09
18379,90,154,-0.001,-0.0002,100.0,518.67,643.6,1598.79,1434.02,14.62,21.61,550.77,2388.32,9032.34,1.3,48.4,519.31,2388.34,8110.86,8.5637,0.03,395,2388,100.0,38.44,23.0727
18514,91,135,0.0016,-0.0001,100.0,518.67,644.04,1607.23,1432.29,14.62,21.61,550.69,2388.27,9047.27,1.3,48.31,519.06,2388.26,8115.44,8.5228,0.03,396,2388,100.0,38.53,23.0902
18855,92,341,-0.0,-0.0004,100.0,518.67,644.04,1607.05,1428.06,14.62,21.61,551.34,2388.23,9143.56,1.3,48.01,519.83,2388.15,8201.66,8.5403,0.03,397,2388,100.0,38.26,23.0719
19010,93,155,0.0047,0.0003,100.0,518.67,643.45,1603.62,1428.64,14.62,21.61,550.75,2388.21,9068.93,1.3,48.2,519.35,2388.26,8137.0,8.488,0.03,396,2388,100.0,38.44,23.1179
19268,94,258,0.003,0.0004,100.0,518.67,644.07,1600.69,1425.25,14.62,21.61,551.27,2388.15,9153.46,1.3,48.26,519.74,2388.19,8217.94,8.5335,0.03,396,2388,100.0,38.3,22.9862
19551,95,283,0.0019,0.0003,100.0,518.67,643.43,1609.16,1430.97,14.62,21.61,551.48,2388.21,9120.46,1.3,48.16,519.27,2388.2,8183.58,8.5648,0.03,396,2388,100.0,38.37,23.1041
19887,96,336,-0.0031,-0.0005,100.0,518.67,643.74,1599.2,1432.12,14.62,21.61,550.78,2388.28,9075.64,1.3,48.17,519.18,2388.24,8144.03,8.5022,0.03,397,2388,100.0,38.36,23.0258
20089,97,202,0.0014,0.0001,100.0,518.67,643.79,1610.66,1427.41,14.62,21.61,551.55,2388.15,9208.02,1.3,47.94,519.91,2388.15,8263.63,8.5277,0.03,397,2388,100.0,38.29,23.1184
20245,98,156,0.0077,-0.0003,100.0,518.67,643.02,1603.77,1432.16,14.62,21.61,551.52,2388.24,9058.54,1.3,48.29,519.55,2388.26,8122.22,8.5308,0.03,396,2388,100.0,38.33,23.1137
20430,99,185,-0.0019,-0.0004,100.0,518.67,643.93,1598.42,1421.56,14.62,21.61,550.64,2388.29,9050.61,1.3,48.29,519.99,2388.24,8127.53,8.5425,0.03,397,2388,100.0,38.49,23.1931
